state,county,county_name,state_name,fips,pct_republican_2016,frac_coll_plus2010,foreign_share2010,med_hhinc2016,poor_share2010,share_black2010,share_hisp2010,share_asian2010,rent_twobed2015,popdensity2010,ann_avg_job_growth_2004_2013
31,103,Keya Paha,Nebraska,31103,0.960334029,0.13993174,0,43333,0.22702703,0,0.004854369,0.001213592,629,1.0658774,0.037587248
48,393,Roberts,Texas,48393,0.945848375,0.34090909,0.017103763,72500,0.14595211,0,0.079655543,0.001076426,,1.0053482,-0.019589888
48,269,King,Texas,48269,0.937106918,0.36781609,0.091324203,57083,0,0,0.13636364,,860,0.31398484,0.010794156
48,345,Motley,Texas,48345,0.920325203,0.18494898,0.016028496,35433,0.2206278,0.01983471,0.13471074,,511,1.2227632,-0.03817435
31,85,Hayes,Nebraska,31085,0.918287938,0.16643742,0.055609755,44602,0.095609754,0,0.034126163,0.003102379,678,1.3561233,0.018030504
48,417,Shackelford,Texas,48417,0.916223404,0.27572426,0.029226901,50285,0.13197322,0.010065127,0.10065127,0.002664299,468,3.6946864,0.012102092
48,173,Glasscock,Texas,48173,0.915562914,0.16384916,0.098709188,62159,0.11237662,0.013866232,0.30831975,0.000815661,,1.3618923,0.010442896
48,311,Mcmullen,Texas,48311,0.909819639,0.10493827,0.065774806,57589,0.09141583,0.011315417,0.36916548,0.004243282,,0.62048787,0.085063376
30,33,Garfield,Montana,30033,0.909470752,0.140625,0.000816993,42614,0.10702614,0.00331675,0.002487562,0.000829187,496,0.25794828,0.01686722
31,75,Grant,Nebraska,31075,0.90617284,0.17307693,0.001512859,45625,0.1740458,0.003257329,0.011400651,0.001628664,,0.79100877,-0.000273299
48,483,Wheeler,Texas,48483,0.905030356,0.15050618,0.073772773,49888.02884,0.13863438,0.025323475,0.24842882,0.004251387,589.68799,5.9156523,0.012309519
48,11,Armstrong,Texas,48011,0.904995103,0.25909752,0.049540348,65000,0.10704533,0.007890584,0.065228827,,740,2.0910583,-0.01191093
48,33,Borden,Texas,48033,0.904109589,0.19072165,0.012411348,77569,0.04255319,0,0.14820592,0.001560062,,0.71425152,-0.022296654
20,199,Wallace,Kansas,20199,0.903508772,0.2343298,0.024305556,45804,0.15322581,0.008080808,0.07272727,0.000673401,372,1.6253453,-0.011198216
46,63,Harding,South Dakota,46063,0.902597403,0.34285715,0.012,51458,0.16139497,0.003984064,0.015936255,0.000796813,567,0.46979553,-0.005343209
48,359,Oldham,Texas,48359,0.896624473,0.29751402,0.027722772,52292,0.13369781,0.033138402,0.11842106,0.007797271,836,1.3675141,-0.021076724
46,55,Haakon,South Dakota,46055,0.896551724,0.19972546,0.008483564,39554,0.12529691,0.008260196,0.008776458,0.004130098,,1.0698501,-0.015962364
31,117,Mcpherson,Nebraska,31117,0.895470383,0.24347825,0.006134969,53750,0.082987554,0.014842301,0.003710575,,,0.62749135,0.020591302
1,133,Winston,Alabama,1133,0.89479298,0.11445996,0.015275953,33836.78174,0.20380414,0.006861624,0.026098676,0.002553077,498.0827,39.942577,-0.010182329
21,131,Leslie,Kentucky,21131,0.89381122,0.080838524,0.002722418,25350.93793,0.24605462,0.003801945,0.003536693,0.00132626,361.0477,28.215395,-0.013474475
31,5,Arthur,Nebraska,31005,0.893772894,0.17894737,0.002347418,40375,0.077464789,0,0.041304346,0.002173913,742,0.64303738,-0.011799832
1,9,Blount,Alabama,1009,0.893348445,0.1263345,0.047343444,46361.1224,0.13313791,0.015002966,0.080701999,0.001873596,567.69586,88.902191,-0.008120399
40,25,Cimarron,Oklahoma,40025,0.892493049,0.16883817,0.099367209,44761.72283,0.2187244,0.002424242,0.20767677,0.002828283,352.34949,1.3489672,-0.017230196
48,301,Loving,Texas,48301,0.892307692,0.17948718,0,56875,0,0,0.21951219,,,0.12258475,0.030877775
48,81,Coke,Texas,48081,0.888966971,0.12481225,0.048595626,40642.6759,0.15202191,0.003012048,0.1813253,0.001506024,643,3.6424675,-0.001985755
21,109,Jackson,Kentucky,21109,0.8887475,0.061888278,0.001210002,31177.16229,0.32564133,0.001852675,0.006224989,0.000815177,407.93176,39.090267,-0.004821126
48,195,Hansford,Texas,48195,0.888546482,0.19969597,0.17476262,41685.80331,0.13785115,0.006948156,0.43292359,0.002865329,646.28912,6.1023474,0.017387461
40,7,Beaver,Oklahoma,40007,0.888542131,0.17919217,0.09253265,53394.9269,0.12356549,0.007097232,0.20138396,0.001064585,669,3.1057954,0.002578922
13,125,Glascock,Georgia,13125,0.888489209,0.10526316,0.007316262,43884,0.16644022,0.085334197,0.010707333,0.000324465,455,21.44149,0.002995927
22,59,La Salle,Louisiana,22059,0.888415284,0.13120934,0.007839262,37478.01538,0.12951426,0.12061787,0.022229685,0.001141706,573.11505,23.836052,0.024414079
31,7,Banner,Nebraska,31007,0.888059701,0.25101215,0.037500001,50833,0.16111112,0,0.037681159,,594,0.92479163,0.006040443
48,237,Jack,Texas,48237,0.887462687,0.10543129,0.046257883,51290.33868,0.19413297,0.039694827,0.141862,0.002543123,629.66046,9.9312477,0.002220321
48,205,Hartley,Texas,48205,0.886270492,0.19820829,0.073117562,64614,0.093028471,0.069778949,0.23886506,0.002309469,693,4.1462812,0.022236491
21,159,Martin,Kentucky,21159,0.886162408,0.089857407,0.000797644,29154.59022,0.32946739,0.069301568,0.030010054,0.001847498,394.85638,56.30975,-0.002932133
48,447,Throckmorton,Texas,48447,0.88490099,0.16704805,0.041896362,39438,0.13248336,0.006093845,0.092626445,0.003656307,381,1.7982537,-0.023913704
48,9,Archer,Texas,48009,0.883959841,0.18439211,0.034494363,61034.4292,0.10115211,0.006074663,0.074552685,0.001988072,598.09558,10.025368,-0.026849518
48,65,Carson,Texas,48065,0.883940621,0.2359553,0.019783014,64706.23665,0.056428704,0.009058558,0.084923975,0.002102879,625,6.7179513,-0.011003633
13,25,Brantley,Georgia,13025,0.883510554,0.050313223,0.008985184,36264.17321,0.21770221,0.032100376,0.018630167,0.001319087,498.19882,41.619759,-0.011267461
31,113,Logan,Nebraska,31113,0.883002208,0.18787879,0,51346,0.055718474,0.001310616,0.017038008,0.001310616,675,1.3370484,0.014980519
22,23,Cameron,Louisiana,22023,0.881906826,0.11936333,0.005007327,67484.78374,0.11721413,0.019008627,0.022517912,0.000877321,,5.3226471,-0.029448144
40,45,Ellis,Oklahoma,40045,0.881773399,0.23189329,0.01781136,52434.90219,0.14043759,0.004095399,0.060467355,0.002692696,660.68536,3.370645,0.007925615
40,129,Roger Mills,Oklahoma,40129,0.879476976,0.20130666,0.022096317,48462,0.11558074,0.007129147,0.045242663,0.003016178,478,3.1959381,-0.000487746
13,11,Banks,Georgia,13011,0.879426523,0.10412446,0.030904803,41197.60826,0.15957044,0.025822235,0.056591466,0.004312766,611.27612,79.257706,-0.015438207
40,59,Harper,Oklahoma,40059,0.879252835,0.17049679,0.088455148,49986.94437,0.12474515,0.002170963,0.17503391,0.001356852,440.73679,3.5466213,0.004408283
28,39,George,Mississippi,28039,0.879183096,0.11017495,0.015529256,47530.85707,0.14602967,0.083355479,0.020063778,0.0019488,728.88336,47.164452,0.000200737
12,59,Holmes,Florida,12059,0.878905332,0.11099708,0.022299625,37766.97942,0.19738983,0.061223466,0.022281326,0.002825698,577.14154,41.620541,-0.018151138
48,179,Gray,Texas,48179,0.87778528,0.11717349,0.073944703,51000.70122,0.14993173,0.051297981,0.23807411,0.003778436,694.82483,24.336536,-0.006868584
54,23,Grant,West Virginia,54023,0.876916868,0.1143572,0.001815515,39541.58365,0.12726007,0.009215046,0.010052777,0.001256597,534.68652,25.00555,0.02152041
48,429,Stephens,Texas,48429,0.876625253,0.12288325,0.057032339,46165.08785,0.17873475,0.022533748,0.20882657,0.002180685,564,10.739138,-0.000859563
48,357,Ochiltree,Texas,48357,0.875416389,0.1783841,0.20074032,50912.39558,0.17492418,0.003228015,0.48733249,0.002445466,695.72046,11.140693,0.010526034
31,171,Thomas,Nebraska,31171,0.875318066,0.16245487,0.017195767,54286,0.096560843,0.001545595,0.01854714,0.00309119,515,0.9071331,0.006295914
56,11,Crook,Wyoming,56011,0.875065342,0.22870333,0.007007202,64669.16998,0.078579552,0.003388395,0.019906819,0.001294179,753.32587,2.4814253,0.014842431
